iter	Passed	Remaining
0	141	141135
1	142	71300
2	144	48079
3	146	36475
4	148	29491
5	150	24883
6	151	21516
7	153	18985
8	154	16999
9	155	15405
10	157	14118
11	158	13023
12	159	12099
13	160	11334
14	162	10645
15	163	10035
16	164	9517
17	165	9040
18	166	8600
19	167	8205
20	168	7844
21	169	7519
22	170	7221
23	170	6940
24	171	6680
25	171	6437
26	172	6213
27	173	6008
28	173	5814
29	174	5633
30	174	5464
31	175	5306
32	176	5160
33	176	5019
34	177	4887
35	177	4761
36	178	4644
37	179	4535
38	179	4430
39	180	4328
40	180	4231
41	181	4139
42	182	4051
43	182	3966
44	183	3885
45	183	3808
46	184	3734
47	184	3663
48	185	3595
49	185	3531
50	186	3469
51	186	3408
52	187	3350
53	188	3294
54	188	3242
55	189	3190
56	189	3140
57	190	3090
58	190	3043
59	191	2997
60	191	2952
61	192	2909
62	192	2867
63	193	2828
64	194	2791
65	194	2755
66	195	2719
67	195	2680
68	196	2646
69	196	2613
70	197	2581
71	197	2549
72	198	2518
73	198	2488
74	199	2464
75	200	2435
76	200	2407
77	201	2380
78	201	2353
79	202	2327
80	202	2301
81	203	2276
82	203	2252
83	204	2228
84	204	2203
85	205	2181
86	205	2156
87	206	2134
88	206	2113
89	206	2092
90	207	2071
91	207	2051
92	208	2032
93	209	2016
94	209	1999
95	210	1982
96	211	1965
97	211	1948
98	212	1932
99	212	1915
100	213	1899
101	213	1880
102	214	1864
103	214	1848
104	215	1832
105	215	1817
106	215	1802
107	216	1787
108	216	1772
109	217	1758
110	217	1744
111	218	1730
112	218	1716
113	219	1703
114	219	1689
115	219	1676
116	220	1663
117	220	1650
118	221	1637
119	221	1625
120	222	1613
121	222	1601
122	222	1588
123	223	1577
124	224	1568
125	224	1558
126	225	1549
127	225	1537
128	226	1527
129	226	1517
130	227	1507
131	227	1497
132	228	1488
133	228	1478
134	229	1468
135	229	1458
136	230	1449
137	230	1439
138	230	1430
139	231	1421
140	231	1412
141	232	1403
142	232	1395
143	233	1387
144	233	1378
145	234	1370
146	234	1362
147	235	1353
148	235	1345
149	236	1337
150	236	1330
151	237	1322
152	237	1314
153	237	1307
154	238	1299
155	238	1292
156	239	1286
157	240	1279
158	240	1273
159	241	1266
